title,authors,genre,subjects,avg_rating,ratings_count,year,pages,isbn,source,content,publication_year
It's Only the Himalayas,Unknown,Travel,Travel,,,,,,WebScraping,It's Only the Himalayas Unknown Travel Travel,
Full Moon over Noahs Ark: An Odyssey to Mount Ararat and Beyond,Unknown,Travel,Travel,,,,,,WebScraping,Full Moon over Noahs Ark: An Odyssey to Mount Ararat and Beyond Unknown Travel Travel,
See America: A Celebration of Our National Parks & Treasured Sites,Unknown,Travel,Travel,,,,,,WebScraping,See America: A Celebration of Our National Parks & Treasured Sites Unknown Travel Travel,
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,Unknown,Travel,Travel,,,,,,WebScraping,Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel Unknown Travel Travel,
Under the Tuscan Sun,Unknown,Travel,Travel,,,,,,WebScraping,Under the Tuscan Sun Unknown Travel Travel,
A Summer In Europe,Unknown,Travel,Travel,,,,,,WebScraping,A Summer In Europe Unknown Travel Travel,
The Great Railway Bazaar,Unknown,Travel,Travel,,,,,,WebScraping,The Great Railway Bazaar Unknown Travel Travel,
A Year in Provence (Provence #1),Unknown,Travel,Travel,,,,,,WebScraping,A Year in Provence (Provence #1) Unknown Travel Travel,
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),Unknown,Travel,Travel,,,,,,WebScraping,The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2) Unknown Travel Travel,
Neither Here nor There: Travels in Europe,Unknown,Travel,Travel,,,,,,WebScraping,Neither Here nor There: Travels in Europe Unknown Travel Travel,
"1,000 Places to See Before You Die",Unknown,Travel,Travel,,,,,,WebScraping,"1,000 Places to See Before You Die Unknown Travel Travel",
Sharp Objects,Unknown,Mystery,Mystery,,,,,,WebScraping,Sharp Objects Unknown Mystery Mystery,
"In a Dark, Dark Wood",Unknown,Mystery,Mystery,,,,,,WebScraping,"In a Dark, Dark Wood Unknown Mystery Mystery",
The Past Never Ends,Unknown,Mystery,Mystery,,,,,,WebScraping,The Past Never Ends Unknown Mystery Mystery,
A Murder in Time,Unknown,Mystery,Mystery,,,,,,WebScraping,A Murder in Time Unknown Mystery Mystery,
The Murder of Roger Ackroyd (Hercule Poirot #4),Unknown,Mystery,Mystery,,,,,,WebScraping,The Murder of Roger Ackroyd (Hercule Poirot #4) Unknown Mystery Mystery,
The Last Mile (Amos Decker #2),Unknown,Mystery,Mystery,,,,,,WebScraping,The Last Mile (Amos Decker #2) Unknown Mystery Mystery,
That Darkness (Gardiner and Renner #1),Unknown,Mystery,Mystery,,,,,,WebScraping,That Darkness (Gardiner and Renner #1) Unknown Mystery Mystery,
Tastes Like Fear (DI Marnie Rome #3),Unknown,Mystery,Mystery,,,,,,WebScraping,Tastes Like Fear (DI Marnie Rome #3) Unknown Mystery Mystery,
A Time of Torment (Charlie Parker #14),Unknown,Mystery,Mystery,,,,,,WebScraping,A Time of Torment (Charlie Parker #14) Unknown Mystery Mystery,
A Study in Scarlet (Sherlock Holmes #1),Unknown,Mystery,Mystery,,,,,,WebScraping,A Study in Scarlet (Sherlock Holmes #1) Unknown Mystery Mystery,
Poisonous (Max Revere Novels #3),Unknown,Mystery,Mystery,,,,,,WebScraping,Poisonous (Max Revere Novels #3) Unknown Mystery Mystery,
Murder at the 42nd Street Library (Raymond Ambler #1),Unknown,Mystery,Mystery,,,,,,WebScraping,Murder at the 42nd Street Library (Raymond Ambler #1) Unknown Mystery Mystery,
Most Wanted,Unknown,Mystery,Mystery,,,,,,WebScraping,Most Wanted Unknown Mystery Mystery,
Hide Away (Eve Duncan #20),Unknown,Mystery,Mystery,,,,,,WebScraping,Hide Away (Eve Duncan #20) Unknown Mystery Mystery,
Boar Island (Anna Pigeon #19),Unknown,Mystery,Mystery,,,,,,WebScraping,Boar Island (Anna Pigeon #19) Unknown Mystery Mystery,
The Widow,Unknown,Mystery,Mystery,,,,,,WebScraping,The Widow Unknown Mystery Mystery,
Playing with Fire,Unknown,Mystery,Mystery,,,,,,WebScraping,Playing with Fire Unknown Mystery Mystery,
What Happened on Beale Street (Secrets of the South Mysteries #2),Unknown,Mystery,Mystery,,,,,,WebScraping,What Happened on Beale Street (Secrets of the South Mysteries #2) Unknown Mystery Mystery,
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),Unknown,Mystery,Mystery,,,,,,WebScraping,The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1) Unknown Mystery Mystery,
Delivering the Truth (Quaker Midwife Mystery #1),Unknown,Mystery,Mystery,,,,,,WebScraping,Delivering the Truth (Quaker Midwife Mystery #1) Unknown Mystery Mystery,
The Mysterious Affair at Styles (Hercule Poirot #1),Unknown,Mystery,Mystery,,,,,,WebScraping,The Mysterious Affair at Styles (Hercule Poirot #1) Unknown Mystery Mystery,
