title,authors,genre,subjects,avg_rating,ratings_count,year,pages,isbn,source,content,publication_year,cluster
It's Only the Himalayas,Unknown,Travel,Travel,,,,,,WebScraping,it s only the himalayas unknown travel travel,,7
Full Moon over Noahs Ark: An Odyssey to Mount Ararat and Beyond,Unknown,Travel,Travel,,,,,,WebScraping,full moon over noahs ark an odyssey to mount ararat and beyond unknown travel travel,,7
See America: A Celebration of Our National Parks & Treasured Sites,Unknown,Travel,Travel,,,,,,WebScraping,see america a celebration of our national parks treasured sites unknown travel travel,,7
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,Unknown,Travel,Travel,,,,,,WebScraping,vagabonding an uncommon guide to the art of long term world travel unknown travel travel,,7
Under the Tuscan Sun,Unknown,Travel,Travel,,,,,,WebScraping,under the tuscan sun unknown travel travel,,7
A Summer In Europe,Unknown,Travel,Travel,,,,,,WebScraping,a summer in europe unknown travel travel,,7
The Great Railway Bazaar,Unknown,Travel,Travel,,,,,,WebScraping,the great railway bazaar unknown travel travel,,7
A Year in Provence (Provence #1),Unknown,Travel,Travel,,,,,,WebScraping,a year in provence provence unknown travel travel,,7
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),Unknown,Travel,Travel,,,,,,WebScraping,the road to little dribbling adventures of an american in britain notes from a small island unknown travel travel,,7
Neither Here nor There: Travels in Europe,Unknown,Travel,Travel,,,,,,WebScraping,neither here nor there travels in europe unknown travel travel,,7
"1,000 Places to See Before You Die",Unknown,Travel,Travel,,,,,,WebScraping, places to see before you die unknown travel travel,,7
Sharp Objects,Unknown,Mystery,Mystery,,,,,,WebScraping,sharp objects unknown mystery mystery,,5
"In a Dark, Dark Wood",Unknown,Mystery,Mystery,,,,,,WebScraping,in a dark dark wood unknown mystery mystery,,5
The Past Never Ends,Unknown,Mystery,Mystery,,,,,,WebScraping,the past never ends unknown mystery mystery,,5
A Murder in Time,Unknown,Mystery,Mystery,,,,,,WebScraping,a murder in time unknown mystery mystery,,5
The Murder of Roger Ackroyd (Hercule Poirot #4),Unknown,Mystery,Mystery,,,,,,WebScraping,the murder of roger ackroyd hercule poirot unknown mystery mystery,,5
The Last Mile (Amos Decker #2),Unknown,Mystery,Mystery,,,,,,WebScraping,the last mile amos decker unknown mystery mystery,,5
That Darkness (Gardiner and Renner #1),Unknown,Mystery,Mystery,,,,,,WebScraping,that darkness gardiner and renner unknown mystery mystery,,5
Tastes Like Fear (DI Marnie Rome #3),Unknown,Mystery,Mystery,,,,,,WebScraping,tastes like fear di marnie rome unknown mystery mystery,,5
A Time of Torment (Charlie Parker #14),Unknown,Mystery,Mystery,,,,,,WebScraping,a time of torment charlie parker unknown mystery mystery,,5
A Study in Scarlet (Sherlock Holmes #1),Unknown,Mystery,Mystery,,,,,,WebScraping,a study in scarlet sherlock holmes unknown mystery mystery,,5
Poisonous (Max Revere Novels #3),Unknown,Mystery,Mystery,,,,,,WebScraping,poisonous max revere novels unknown mystery mystery,,5
Murder at the 42nd Street Library (Raymond Ambler #1),Unknown,Mystery,Mystery,,,,,,WebScraping,murder at the nd street library raymond ambler unknown mystery mystery,,5
Most Wanted,Unknown,Mystery,Mystery,,,,,,WebScraping,most wanted unknown mystery mystery,,5
Hide Away (Eve Duncan #20),Unknown,Mystery,Mystery,,,,,,WebScraping,hide away eve duncan unknown mystery mystery,,5
Boar Island (Anna Pigeon #19),Unknown,Mystery,Mystery,,,,,,WebScraping,boar island anna pigeon unknown mystery mystery,,5
The Widow,Unknown,Mystery,Mystery,,,,,,WebScraping,the widow unknown mystery mystery,,5
Playing with Fire,Unknown,Mystery,Mystery,,,,,,WebScraping,playing with fire unknown mystery mystery,,5
What Happened on Beale Street (Secrets of the South Mysteries #2),Unknown,Mystery,Mystery,,,,,,WebScraping,what happened on beale street secrets of the south mysteries unknown mystery mystery,,5
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),Unknown,Mystery,Mystery,,,,,,WebScraping,the bachelor girl s guide to murder herringford and watts mysteries unknown mystery mystery,,5
Delivering the Truth (Quaker Midwife Mystery #1),Unknown,Mystery,Mystery,,,,,,WebScraping,delivering the truth quaker midwife mystery unknown mystery mystery,,5
The Mysterious Affair at Styles (Hercule Poirot #1),Unknown,Mystery,Mystery,,,,,,WebScraping,the mysterious affair at styles hercule poirot unknown mystery mystery,,5
In the Woods (Dublin Murder Squad #1),Unknown,Mystery,Mystery,,,,,,WebScraping,in the woods dublin murder squad unknown mystery mystery,,5
The Silkworm (Cormoran Strike #2),Unknown,Mystery,Mystery,,,,,,WebScraping,the silkworm cormoran strike unknown mystery mystery,,5
The Exiled,Unknown,Mystery,Mystery,,,,,,WebScraping,the exiled unknown mystery mystery,,5
The Cuckoo's Calling (Cormoran Strike #1),Unknown,Mystery,Mystery,,,,,,WebScraping,the cuckoo s calling cormoran strike unknown mystery mystery,,5
Extreme Prey (Lucas Davenport #26),Unknown,Mystery,Mystery,,,,,,WebScraping,extreme prey lucas davenport unknown mystery mystery,,5
Career of Evil (Cormoran Strike #3),Unknown,Mystery,Mystery,,,,,,WebScraping,career of evil cormoran strike unknown mystery mystery,,5
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),Unknown,Mystery,Mystery,,,,,,WebScraping,the no ladies detective agency no ladies detective agency unknown mystery mystery,,5
The Girl You Lost,Unknown,Mystery,Mystery,,,,,,WebScraping,the girl you lost unknown mystery mystery,,5
The Girl In The Ice (DCI Erika Foster #1),Unknown,Mystery,Mystery,,,,,,WebScraping,the girl in the ice dci erika foster unknown mystery mystery,,5
Blood Defense (Samantha Brinkman #1),Unknown,Mystery,Mystery,,,,,,WebScraping,blood defense samantha brinkman unknown mystery mystery,,5
1st to Die (Women's Murder Club #1),Unknown,Mystery,Mystery,,,,,,WebScraping, st to die women s murder club unknown mystery mystery,,5
Tipping the Velvet,Unknown,Historical Fiction,Historical Fiction,,,,,,WebScraping,tipping the velvet unknown historical fiction historical fiction,,1
